,Date,Time,MMSI,Lon,Lat,COG,SOG,VesselName,VesselType,DimA,DimB,DimC,DimD,Destination
401,2024-02-24,09:32:21,538007229.0,126.71238167,36.99599667,140.2,0.0,YUAN AN HU,PRODUCT_TANKER,257.0,43.0,21.0,29.0,NING BO
402,2024-02-24,09:32:08,538007542.0,126.08470667,36.04612167,192.1,0.0,HESTIA LEADER,PCC,194.0,35.0,14.0,24.0,TW TPE
403,2024-02-24,09:32:08,538008129.0,126.10772093953555,36.02780711701113,159.1,0.05144,CSBC NO.12,TUG,249.0,43.0,14.0,31.0,KHH
404,2024-02-24,09:32:09,538008450.0,125.51635644909499,36.11111935236628,280.0,0.46296,CHANG AN ZHOU,PRODUCT_TANKER,194.0,31.0,16.0,16.0,ZHOU SHAN
405,2024-02-24,09:32:12,538008854.0,126.4440912057493,36.28016523347893,224.9,0.05144,NAN YU 7,LPG,128.0,25.0,22.0,8.0,ZHOUSHAN
406,2024-02-24,09:32:12,538008862.0,126.45282,36.29349833,144.0,0.0,HE FU,BULK,128.0,25.0,22.0,8.0,TAIPEI
407,2024-02-24,09:32:21,538008984.0,126.17339167,37.03024333,116.3,0.0,WAN HAI 622,CONTAINER,169.0,30.0,11.0,21.0,CNNGB
408,2024-02-24,09:32:19,538008997.0,125.4844019192018,36.8833201712332,94.9,6.018479999999999,CAPE MERLIN,BULK,173.0,33.0,8.0,24.0,CN ZOS
409,2024-02-24,09:32:24,538009150.0,126.42800660385176,37.23885085044178,156.1,0.05144,MSC MARINA,CONTAINER,190.0,35.0,13.0,20.0,CNZOS
410,2024-02-24,09:32:21,538009342.0,126.10768333,37.02455667,140.7,0.0,BAO YUE LING,BULK,256.0,36.0,30.0,15.0,NING BO
